,0
0,100030001
1,100050001
2,100060001
3,100111001
4,100131001
5,100161001
6,100404001
7,100656001
8,100707001
9,100767001
10,100888001
11,100999001
12,101030101
13,101060101
14,101141101
15,101171101
16,101282101
17,101292101
18,101343101
19,101373101
20,101414101
21,101424101
22,101474101
23,101595101
24,101616101
25,101717101
26,101777101
27,101838101
28,101898101
29,101919101
30,101949101
31,101999101
32,102040201
33,102070201
34,102202201
35,102232201
36,102272201
37,102343201
38,102383201
39,102454201
40,102484201
41,102515201
42,102676201
43,102686201
44,102707201
45,102808201
46,102838201
47,103000301
48,103060301
49,103161301
50,103212301
51,103282301
52,103303301
53,103323301
54,103333301
55,103363301
56,103464301
57,103515301
58,103575301
59,103696301
60,103777301
61,103818301
62,103828301
63,103909301
64,103939301
65,104000401
66,104030401
67,104040401
68,104111401
69,104222401
70,104282401
71,104333401
72,104585401
73,104616401
74,104787401
75,104838401
76,104919401
77,104949401
78,105121501
79,105191501
80,105202501
81,105262501
82,105272501
83,105313501
84,105323501
85,105343501
86,105575501
87,105616501
88,105656501
89,105757501
90,105818501
91,105868501
92,105929501
93,106060601
94,106111601
95,106131601
96,106191601
97,106222601
98,106272601
99,106353601
100,106444601
101,106464601
102,106545601
103,106555601
104,106717601
105,106909601
106,106929601
107,107000701
108,107070701
109,107121701
110,107232701
111,107393701
112,107414701
113,107424701
114,107595701
115,107636701
116,107646701
117,107747701
118,107757701
119,107828701
120,107858701
121,107868701
122,107888701
123,107939701
124,107949701
125,108070801
126,108101801
127,108121801
128,108151801
129,108212801
130,108323801
131,108373801
132,108383801
133,108434801
134,108464801
135,108484801
136,108494801
137,108505801
138,108565801
139,108686801
140,108707801
141,108767801
142,108838801
143,108919801
144,108959801
145,109000901
146,109101901
147,109111901
148,109161901
149,109333901
150,109404901
151,109434901
152,109444901
153,109474901
154,109575901
155,109656901
156,109747901
157,109777901
158,109797901
159,109818901
160,109909901
161,109929901
162,110111011
163,110232011
164,110252011
165,110343011
166,110424011
167,110505011
168,110565011
169,110676011
170,110747011
171,110757011
172,110909011
173,110949011
174,110999011
175,111010111
176,111020111
177,111050111
178,111070111
179,111181111
180,111191111
181,111262111
182,111272111
183,111454111
184,111484111
185,111515111
186,111616111
187,111686111
188,111757111
189,111848111
190,112030211
191,112060211
192,112111211
193,112161211
194,112171211
195,112212211
196,112434211
197,112494211
198,112545211
199,112636211
200,112878211
201,112959211
202,112969211
203,112989211
204,113030311
205,113090311
206,113111311
207,113262311
208,113282311
209,113474311
210,113535311
211,113565311
212,113616311
213,113636311
214,113888311
215,113939311
216,114040411
217,114191411
218,114232411
219,114353411
220,114383411
221,114484411
222,114494411
223,114535411
224,114727411
225,114808411
226,114818411
227,114848411
228,114878411
229,114898411
230,115000511
231,115020511
232,115060511
233,115111511
234,115141511
235,115191511
236,115212511
237,115222511
238,115404511
239,115464511
240,115545511
241,115636511
242,115737511
243,115767511
244,115797511
245,115828511
246,115959511
247,116000611
248,116010611
249,116040611
250,116424611
251,116505611
252,116646611
253,116696611
254,116757611
255,116777611
256,116828611
257,116868611
258,116919611
259,117070711
260,117101711
261,117262711
262,117272711
263,117323711
264,117484711
265,117505711
266,117515711
267,117616711
268,117686711
269,117757711
270,117767711
271,117797711
272,117818711
273,117959711
274,118252811
275,118272811
276,118414811
277,118464811
278,118525811
279,118626811
280,118686811
281,118696811
282,118717811
283,118818811
284,118848811
285,118909811
286,118959811
287,119010911
288,119171911
289,119202911
290,119343911
291,119363911
292,119454911
293,119585911
294,119595911
295,119646911
296,119676911
297,119696911
298,119717911
299,119787911
300,119868911
301,119888911
302,119969911
303,120191021
304,120242021
305,120434021
306,120454021
307,120494021
308,120535021
309,120565021
310,120646021
311,120808021
312,120868021
313,120989021
314,121080121
315,121111121
316,121131121
317,121161121
318,121272121
319,121282121
320,121393121
321,121414121
322,121555121
323,121747121
324,121818121
325,121878121
326,121939121
327,121989121
328,122040221
329,122232221
330,122262221
331,122292221
332,122333221
333,122363221
334,122373221
335,122393221
336,122444221
337,122484221
338,122535221
339,122696221
340,122787221
341,122858221
342,122919221
343,123161321
344,123292321
345,123424321
346,123484321
347,123494321
348,123575321
349,123767321
350,123838321
351,123989321
352,124000421
353,124080421
354,124101421
355,124131421
356,124252421
357,124323421
